A-n32-k5;789;5;38,173;
A-n63-k10;1399;10;92,991;
X-n101-k25;29131;27;223,816;
X-n106-k14;27592;14;361,488;
X-n110-k13;17283;13;274,952;
X-n115-k10;14830;10;200,003;
X-n120-k6;15388;6;360,993;
X-n125-k30;58519;31;362,717;
X-n129-k18;32428;18;361,949;
X-n134-k13;12688;14;100,483;
X-n139-k10;16998;12;164,507;
X-n143-k7;19005;7;361,852;
X-n148-k46;45974;47;362,3;
X-n153-k22;22944;24;368,585;
X-n157-k13;18824;13;271,773;
X-n162-k11;17631;11;363,135;
X-n167-k10;24933;10;363,444;
X-n172-k51;48314;55;360,065;
X-n176-k26;52686;28;367,745;
X-n181-k23;27159;23;362,887;
X-n186-k15;29444;15;362,329;
X-n190-k8;19091;8;361,028;
X-n195-k51;48369;54;362,771;
X-n200-k36;62050;37;364,47;
X-n204-k19;24745;19;365,212;
X-n209-k16;36697;16;363,95;
X-n214-k11;13083;12;360,722;
X-n219-k73;118105;73;390,173;
X-n223-k34;45748;36;366,052;
X-n228-k23;30038;26;366,438;
X-n233-k16;21986;17;365,92;
X-n237-k14;32682;14;371,238;
X-n242-k48;91173;49;366,508;
X-n247-k50;-1;0;0;
X-n251-k28;44273;28;361,709;
X-n256-k16;25738;17;379,786;
X-n261-k13;34004;14;368,129;
X-n266-k58;80118;59;365,51;
X-n270-k35;41488;37;368,879;
X-n275-k28;24440;28;391,659;
X-n280-k17;40879;18;362,34;
X-n284-k15;25314;15;395,595;
X-n289-k60;105841;63;378,134;
X-n294-k50;53852;53;367,245;
X-n298-k31;42549;33;370,748;
X-n303-k21;29470;22;365,572;
X-n308-k13;31151;13;366,463;
X-n313-k71;101729;75;373,859;
X-n317-k53;80771;53;393,603;
X-n322-k28;38567;29;365,657;
X-n327-k20;36105;21;365,993;
X-n331-k15;38368;15;384,725;
X-n336-k84;151272;88;381,268;
X-n344-k43;49592;44;363,824;
X-n351-k40;31324;42;365,542;
X-n359-k29;61283;30;370,263;
X-n367-k17;27888;19;362,879;
X-n376-k94;150050;94;409,83;
X-n384-k52;74671;53;415,169;
X-n393-k38;46841;39;364,961;
X-n401-k29;75018;30;363,298;
X-n411-k19;24812;19;379,718;
X-n420-k130;114754;133;374,689;
X-n429-k61;74503;62;382,634;
X-n439-k37;45893;37;369,142;
X-n449-k29;68325;30;387,185;
X-n459-k26;31276;29;372,528;
X-n469-k138;229124;141;439,027;
X-n480-k70;97491;71;386,089;
X-n491-k59;78782;62;393,363;
X-n502-k39;75090;39;376,491;
X-n513-k21;35471;26;360,95;
