X-n101-k25;28534;27;209,869;
X-n106-k14;27540;14;253,677;
X-n110-k13;16927;13;261,659;
X-n115-k10;14298;10;273,89;
X-n120-k6;16058;6;286,522;
X-n125-k30;56876;31;299,363;
X-n129-k18;31568;18;307,472;
X-n134-k13;12405;14;178,547;
X-n139-k10;16278;11;287,233;
X-n143-k7;18854;7;346,79;
X-n148-k46;44822;47;355,033;
X-n153-k22;22065;24;373,959;
X-n157-k13;18559;13;231,982;
X-n162-k11;16942;12;393,292;
X-n167-k10;24062;10;408,477;
X-n172-k51;46666;53;416,541;
X-n176-k26;50117;27;431,798;
X-n181-k23;27664;23;446,612;
X-n186-k15;28739;15;447,584;
X-n190-k8;19271;8;454,891;
X-n195-k51;46038;53;470,875;
X-n200-k36;61594;37;492,562;
X-n204-k19;23720;19;503,538;
X-n209-k16;35467;16;510,746;
X-n214-k11;13050;12;372,806;
X-n219-k73;119241;73;539,12;
X-n223-k34;44489;35;536,786;
X-n228-k23;28873;25;545,813;
X-n233-k16;21452;17;564,272;
X-n237-k14;32469;14;577,467;
X-n242-k48;87809;48;581,394;
X-n247-k50;-1;0;0;
X-n251-k28;43686;28;601,852;
X-n256-k16;23247;18;632,728;
X-n261-k13;33404;13;626,53;
X-n266-k58;81324;59;646,013;
X-n270-k35;40686;36;650,811;
X-n275-k28;24432;29;670,713;
X-n280-k17;39023;18;672,09;
X-n284-k15;24623;15;680,071;
X-n289-k60;100532;62;697,766;
X-n294-k50;51220;52;705,092;
X-n298-k31;40008;32;713,328;
X-n303-k21;25697;21;727,566;
X-n308-k13;30935;13;737,036;
X-n313-k71;98276;73;758,203;
X-n317-k53;81458;53;766,553;
X-n322-k28;36388;30;774,075;
X-n327-k20;34081;20;820,686;
X-n331-k15;37225;15;796,577;
X-n336-k84;144972;87;812,103;
X-n344-k43;48417;44;823,829;
X-n351-k40;29776;41;893,897;
X-n359-k29;59589;29;875,75;
X-n367-k17;27381;18;894,968;
X-n376-k94;151639;94;919,392;
X-n384-k52;74965;54;938,36;
X-n393-k38;44991;39;977,583;
X-n401-k29;73531;29;969,059;
